iter	RMSE
0	0.8565482502
1	0.7972887989
2	0.7441473219
3	0.6957480009
4	0.65147572
5	0.6130233115
6	0.5801863961
7	0.5511075069
8	0.521302884
9	0.4985435699
10	0.4777652357
11	0.4605209508
12	0.4422734076
13	0.4275536723
14	0.4156051483
15	0.4032170764
16	0.3946538572
17	0.3870855234
18	0.3799811773
19	0.3720652315
20	0.3658971526
21	0.3604630689
22	0.3557347179
23	0.3513276593
24	0.3479114647
25	0.3447561432
26	0.3418648969
27	0.3392464462
28	0.3369441782
29	0.3351505936
30	0.3328990079
31	0.3311279
32	0.3296651154
33	0.3283691919
34	0.3260469311
35	0.3246945309
36	0.3233587177
37	0.3224669635
38	0.3215301003
39	0.3199712761
40	0.3189987689
41	0.3182606896
42	0.3171941753
43	0.316639083
44	0.3160866369
45	0.3151877078
46	0.3139740587
47	0.3134479729
48	0.3127415768
49	0.3117702122
50	0.3112099744
51	0.310829125
52	0.3104694513
53	0.3097110896
54	0.3091459388
55	0.3085832004
56	0.3077989902
57	0.3067230652
58	0.3062130773
59	0.3058483094
60	0.3054345254
61	0.3046404186
62	0.3042611239
63	0.3033779804
64	0.3026228993
65	0.3018895075
66	0.3015474463
67	0.3011808351
68	0.3007523857
69	0.3004554526
70	0.2999851403
71	0.2996803775
72	0.2993551094
73	0.2990462486
74	0.2987156211
75	0.2982544105
76	0.2978150485
77	0.2973214016
78	0.2968258106
79	0.2966090393
80	0.2961699818
81	0.2958487894
82	0.2956406144
83	0.2953472237
84	0.2949876514
85	0.2947781913
86	0.2944888218
87	0.2942018283
88	0.2939579738
89	0.2936983992
90	0.2933112367
91	0.2930474462
92	0.2926770593
93	0.2921489527
94	0.2919394749
95	0.2917555869
96	0.2915559633
97	0.2912785972
98	0.2910174408
99	0.2905388522
100	0.2900912008
101	0.289893345
102	0.2896930075
103	0.2894124086
104	0.2888509053
105	0.2887313793
106	0.2886137471
107	0.2884442814
108	0.2882641524
109	0.2877790894
110	0.2875864861
111	0.2873802017
112	0.2871035196
113	0.286998441
114	0.2867549678
115	0.2865606537
116	0.2863916645
117	0.2862306359
118	0.286024276
119	0.2857782537
120	0.2856088552
121	0.2850277736
122	0.2847322598
123	0.2846034743
124	0.2843645966
125	0.2841578372
126	0.2839745473
127	0.2837301756
128	0.2834173701
129	0.2832840844
130	0.2829700908
131	0.2827996906
132	0.2826698274
133	0.2824839873
134	0.282291984
135	0.2818337497
136	0.2816306396
137	0.2814312943
138	0.2812593587
139	0.2811037864
140	0.2809517596
141	0.2806357578
142	0.2804030068
143	0.2802325484
144	0.280050733
145	0.2797978406
146	0.2796839276
147	0.2795672499
148	0.2793824089
149	0.2792432914
150	0.2788768721
151	0.2787862787
152	0.2786024306
153	0.2784507734
154	0.2783190441
155	0.2781356937
156	0.2779037214
157	0.2777817692
158	0.2775957715
159	0.277486374
160	0.2773655506
161	0.2772112796
162	0.2770008362
163	0.2768809762
164	0.276693079
165	0.2764753978
166	0.2763667368
167	0.2762177985
168	0.2758601007
169	0.2756882496
170	0.2754593763
171	0.275285583
172	0.2751468629
173	0.2749667586
174	0.2748439393
175	0.2746950514
176	0.2746014478
177	0.2745271063
178	0.2742109953
179	0.2740754564
180	0.2739889596
181	0.27389643
182	0.2737996997
183	0.2737224918
184	0.2736420363
185	0.2735462249
186	0.2734405809
187	0.2733428395
188	0.273259256
189	0.2731300033
190	0.2730460755
191	0.2729294919
192	0.27277209
193	0.2726825493
194	0.2725737107
195	0.2724472883
196	0.2723888754
197	0.2722839601
198	0.2721511902
199	0.2720578035
200	0.2719091697
201	0.2717669037
202	0.2716882209
203	0.2715843122
204	0.2715352062
205	0.2713676756
206	0.2712246791
207	0.2710525661
208	0.2709290242
209	0.270858555
210	0.2707321317
211	0.2706816435
212	0.2705983861
213	0.2705385262
214	0.2704504404
215	0.2703927916
216	0.2702052454
217	0.2699754754
218	0.2698462376
219	0.2697572149
220	0.2696699358
221	0.2695989916
222	0.2695205701
223	0.2694149738
