iter	Passed	Remaining
0	47	22832
1	94	22544
2	140	22186
3	193	22931
4	238	22535
5	283	22222
6	328	22026
7	372	21849
8	417	21726
9	465	21723
10	510	21625
11	556	21549
12	599	21406
13	644	21323
14	688	21212
15	733	21138
16	778	21070
17	823	20987
18	868	20928
19	913	20874
20	958	20818
21	1002	20736
22	1048	20688
23	1093	20631
24	1137	20566
25	1186	20586
26	1238	20639
27	1294	20753
28	1344	20766
29	1393	20758
30	1439	20703
31	1486	20666
32	1530	20598
33	1574	20511
34	1617	20432
35	1663	20373
36	1706	20298
37	1750	20220
38	1795	20165
39	1840	20109
40	1885	20055
41	1929	19984
42	1974	19923
43	2018	19859
44	2065	19826
45	2110	19777
46	2157	19739
47	2212	19774
48	2264	19784
49	2321	19824
50	2369	19793
51	2417	19758
52	2463	19709
53	2510	19666
54	2557	19626
55	2604	19581
56	2649	19523
57	2694	19464
58	2739	19411
59	2784	19354
60	2831	19308
61	2877	19262
62	2925	19221
63	2970	19167
64	3016	19118
65	3060	19055
66	3103	18992
67	3149	18940
68	3201	18932
69	3254	18921
70	3311	18933
71	3357	18884
72	3402	18832
73	3447	18775
74	3492	18721
75	3537	18663
76	3581	18607
77	3626	18551
78	3671	18498
79	3715	18437
80	3760	18382
81	3806	18335
82	3853	18291
83	3900	18247
84	3945	18196
85	3989	18139
86	4033	18079
87	4078	18029
88	4123	17977
89	4174	17948
90	4230	17943
91	4280	17912
92	4329	17878
93	4374	17825
94	4420	17776
95	4466	17725
96	4510	17670
97	4556	17620
98	4601	17569
99	4647	17520
100	4691	17466
101	4738	17420
102	4784	17373
103	4831	17328
104	4877	17280
105	4923	17233
106	4969	17185
107	5014	17133
108	5061	17088
109	5108	17043
110	5159	17012
111	5213	16989
112	5269	16973
113	5319	16939
114	5366	16893
115	5410	16838
116	5457	16792
117	5502	16740
118	5545	16682
119	5590	16632
120	5634	16577
121	5679	16525
122	5724	16476
123	5771	16430
124	5815	16375
125	5862	16330
126	5906	16278
127	5952	16229
128	5996	16176
129	6042	16128
130	6087	16079
131	6132	16028
132	6183	15992
133	6236	15963
134	6292	15940
135	6340	15897
136	6385	15846
137	6430	15796
138	6474	15744
139	6519	15693
140	6563	15640
141	6608	15590
142	6653	15541
143	6698	15490
144	6743	15439
145	6788	15390
146	6832	15338
147	6877	15288
148	6924	15242
149	6969	15193
150	7013	15142
151	7057	15089
152	7101	15038
153	7146	14989
154	7197	14952
155	7247	14912
156	7298	14876
157	7347	14834
158	7394	14788
159	7438	14736
160	7482	14686
161	7527	14636
162	7573	14589
163	7618	14540
164	7664	14492
165	7708	14442
166	7753	14392
167	7796	14339
168	7841	14291
169	7885	14240
170	7928	14187
171	7973	14138
172	8018	14090
173	8063	14042
174	8107	13990
175	8158	13952
176	8210	13916
177	8262	13879
178	8313	13840
179	8359	13793
180	8405	13745
181	8451	13698
182	8496	13649
183	8543	13604
184	8589	13557
185	8634	13508
186	8678	13457
187	8724	13411
188	8769	13362
189	8813	13313
190	8857	13262
191	8903	13216
192	8947	13166
193	8991	13115
194	9037	13068
195	9082	13021
196	9131	12978
197	9188	12947
198	9243	12913
199	9289	12866
200	9333	12816
201	9380	12770
202	9425	12721
203	9469	12672
204	9515	12624
205	9559	12575
206	9604	12527
207	9648	12477
208	9693	12429
209	9738	12381
210	9783	12333
211	9828	12285
212	9872	12236
213	9916	12186
214	9960	12137
215	10004	12088
216	10049	12040
217	10095	11994
218	10142	11948
219	10193	11907
220	10245	11868
221	10296	11827
222	10346	11785
223	10391	11737
224	10436	11689
225	10481	11641
226	10525	11592
227	10571	11545
228	10616	11497
229	10662	11450
230	10709	11404
231	10755	11358
232	10799	11309
233	10845	11262
234	10889	11213
235	10933	11165
236	10980	11119
237	11024	11070
238	11068	11022
239	11113	10974
240	11163	10932
241	11216	10891
242	11272	10854
243	11319	10808
244	11365	10762
245	11409	10714
246	11453	10665
247	11498	10617
248	11544	10571
249	11588	10522
250	11631	10473
251	11678	10427
252	11723	10379
253	11768	10332
254	11814	10285
255	11858	10237
256	11903	10189
257	11946	10141
258	11991	10093
259	12035	10045
260	12080	9997
261	12125	9950
262	12181	9911
263	12236	9872
264	12286	9828
265	12332	9782
266	12378	9735
267	12422	9688
268	12468	9641
269	12513	9593
270	12557	9545
271	12601	9497
272	12645	9449
273	12689	9401
274	12733	9353
275	12780	9307
276	12823	9259
277	12869	9212
278	12914	9165
279	12959	9117
280	13003	9069
281	13049	9023
282	13092	8975
283	13135	8926
284	13185	8883
285	13238	8841
286	13293	8800
287	13342	8756
288	13389	8709
289	13435	8663
290	13479	8615
291	13524	8568
292	13570	8521
293	13616	8475
294	13660	8427
